"domanda","categoria"
"Il mare in Puglia...consigli?",4
"Progetto percorso trekking Grecia? Urgente!?",4
"ciao, mi consigliate un buon agriturismo in prov di Bari? grazie?",1
"sale ricevimenti puglia?",1
"domanda per esperti di apnea????",3
"negozio BMX Roma!!!?",1
"NEGOZI CHE VENONO MATERIALE ROCK (T SHIRT ETC) A BARI?",1
"Dove posso trovare a Bari puzzle con immagini di artisti come Klimt?",1
"Negozi di magliette di artisti musicali, Merchandise Musicale a Bari?",1
"Dove posso trovare libri usati a Bari?",1
"negozio riparazione freno bici brugherio/monza?",1
"e....per le persone del luogo ....che faranno ?",3
"Sapete se ci sono dei buoni tatuatori a bari?",2
"consigli mountain bike per uno che sta cominciando a girare (da uomo)?",2
"opinione mountain bike????",2
"Caseificio in campania di mozzarella di bufala?",1
"Chi mi da un consiglio per vacanze in Croazia?",4
"MIGLIOR CASEIFICIO CAMPANIA IMPORTANTE GRAZIE?",1
"PUGLIA CAPAREZZA CONCERTI . (non lontano da taranto-bari)?",3
"eventi particolari?",3
"orari di apertura al pubblico della basilica San Nicola???",3
"alcune curiosità sulla basilica di san nicola di bari?",3
"spiegazione architettura e storia della basilica s.nicola e la cattedrale di s.nicola a bari?",3
"eventi particolari?",3
"chiesa romanica?????",4
"Chiese buddhiste a Bari?",4
"esistono chiese protestanti a bari?",4
"quale è l'elenco delle cattedrali Gotiche e romaniche piu famose?",4
"numero di telefono della chiesa di s. nicola a bari?",3
"info su chiesa di BARI....?",3
"informazioni su ADI (chiesa evangelica) di Bari?",3
"Vorrei sapere qualche buona pizzeria a Bari e provincia?",1
"costo del piercing sul naso?",3
"NOME DI NEGOZI O FABBRCHE che VENDE ANELLI DI DIAMANTI A VALENZA?",1
"vorrei vendere uno smeraldo di famiglia, con certificato, a chi mi devo rivolgere?",2
"un bravo barbiere/parrucchiere x uomini a bari?",2
"Consigli per iniziare la pesca in apnea... Bisogna seguire per forza un corso di apnea?",3
"Voglio sapere gli orari del pullman per bari da Casamassimaa!! Aiutatemii?",3
"Chi abita a Bari o Triggiano sa per caso gli orari dei pullman, io non riesco a trovarli?",3
"Pullman da Amantea(CS) per Bari o Brindisi?",3
"Salve.Esiste un pullman che parte da bari e arriva a Macerata?!?",3
"Pullman per mirabilandia da bari brindisi taranto o comuqnue in generale puglia?",3
"Pullman da Bari per partite allo Juventus Stadium?",3
"Dove al mare in Basilicata?",4
"Quali pullman da Bari arrivano a Manfredonia?",3
"un caseificio buono in gioia del colle?",1
"cosa ci consigliereste di visitare tra Bari, Otranto e Ostuni?",4
"mi potresti dare qualche informazione in più sul campeggio san giorgio in puglia?",3
"Abbigliamento con Slogan VEG a BARI o PALERMO?",1
"scusate potete dirmi come arrivare a miragica da bari cn un pullman o con treno?",3
"Quali sono i ristoranti e negozi di alimentari per VEGAN e VEGETARIANI a TRANI e dintorni?",1
"Chi mi sa dire gli orari di pullman o treni da Bari a Valenzano ? è urgentissimi ... rispondetemi?",3
"pullman da Bari e provincia Amici?",3
"Interprete di conferenza?",2
"dove comprare diamanti di grande valore?",1
"informazioni pullman bari-gardaland?",3
"Urgente, dove posso comprare la Pasta shirataki?",1
"dove vendono il seitan e il tofu..?",1
"Pediatri vegetariani a Brindisi e provincia?",2
"Salve, vorrei sapere orari e linee di pullman che vanno da Bari centrale a Modugno zona industriale?",3
"ESISTONO PULLMAN DA CEGLIE DEL CAMPO A BARI?",3
"ESISTE UN TRENO O PULLMAN CHE PARTE DA BARI E VA AD ""ARADEO""??? (PROVINCIA DI LECCE)?",3
"come posso arrivare da bari a lagonegro (potenza)?",3
"qualcuno sa se si stanno organizzando pullman da bari per il primo maggio?",3
"Pullman da Napoli centrale (stazione) a Bari aeroporto (Palese)?",3
"Bari-Campomarino(taranto)?",3
"Pullman Mirabilandia (o altri parchi divertimento) 2010 partenza da bari?",3
"Qualcuno sa se esistono pullman da bari per marsiglia?",3
"aiuto orari pullman BARI?",3
"quali sono i pullman per andare da taranto a bari?",3
"Esiste un pullman che parte da Bari e che arrivi a Torre Canne?",3
"qualcuno sa dirmi se esiste un pullman da bari a castellaneta paese?",3
"pullman per Mirabilandia da bari?",3
"Pullman da Bari per Foggia?",3
"mi date gli orari dei pullman da BARI-ROSSANO CALABRO grazie?",3
"Autobus/pullman da Bari a centro commerciale Bariblu?",3
"Aiuto Per Treni o Pullman Da Napoli a Bari?",3
"negozi swatch provincia di Bari?",1
"conosci un barbiere a Bari che fa tagli militari cortissimi sfumati?",2
"help!! aiutatemi non riesco a trovare un negozio di.....?",1
"centro benessere??????????",1
"un hotel carino sul mare nella zona di torre canne costa merlata?",1
"Meccanico???? Help me?",2
"Pranzo Pasquetta in zona Bari-Brindisi?",1
"consigli sulla pesca subacquea apnea?",3
"se io vado a lecce a natale dove posso mangiare senza spendere una cifra?",1
"Negozio di pesca a Martina Franca (ta)?",1
"un meccanico che mi possa aiutare davvero?",2
"dove posso trovare una corda di canapa a martina franca (TA)?",1
"mi parlate in generale dll città greca e della città romana?",3
"Ceramista qualificatissimo con più di 30 anni di esperienza??!?",2
"Dove vendono Jeckerson a Martina Franca",1
"Aiuto!! Cerco Rudere o Masseria abbandonata in provincia di Napoli!!?",1
"Agriturismo in puglia nella zona tra Fasano e Brindisi?",1
"un avvocato o un esperto che possa aiutarmi e prendersi a cuore la situazione?",2
"Negozi MArtina Franca..taranto?",1
"Qualche agriturismo zona benevento?",1
"Dove comprare mtb in Emilia?",1
"Cercasi Fabbro a Napoli?",2
"A.A.A. Cercasi fabbro esperto nel fabbricare coperchi.?",2
"Dove comprare Bike Chopper ?",1
"Vorrei passare il periodo di Natale in Puglia zona Salento in qualche Masseria?",1
"Negozi di bici a Milano...?",1
"Chi Vende Tiffany a Padova?",2
"a chi vendere diamanti grezzi?",2
"Negozio bmx specializzato a Milano?",1
"Creare un ciondolo con una pietra personale?! A chi rivolgersi?",2
"negozi di bici che accettano contrassegno?",1
"Masserie sul Gargano o zona Brindisi!?",1
"chi mi aiuta? diritto...?",2
"NEGOZI KE VENDONO BMX A ROMA?",1
"Chi mi può valutare un diamante?",2
"da chi faccio valutare i miei beni?",2
"cerco pit bike usata o nuova 125-140?",1
"Cerco casco integrale per cross bike?",1
"dove posso acquistare delle moutiny bike?",1
"cerco hotel masseria con vasca idromassaggio in camera?",1
"Un negozio di attrezzi sportivi a Verona o provincia?",1
"Che negozio fa il piercing sul naso?",1
"Negozi pit bike a milano e in provincia?",1
"dove trovo un negozio di pit bike a venezia?",1
"B&B economici ..martina franca?",1
"consiglio esperti mountain bike?",3
"Cerco un bella zona da visitare",4
"Per chi si intende di pietre preziose? Aiuto?",2
"cerco un o dei sarti a modena che possono realizzare completti giacche classico da uomo?",2
"Dove posso trovare una sarta che mi possa costruire un abito da cosplayer?",2
"cerco una sarta con partita iva ed esperienza torino!!!!!!!!!! urgente?",2
"Chi effettua le incisioni sui braccialetti ?",2
"Negozio accessori moto centro milano...?",1
"Fedi nuziali, dove comprarle a Milano e/o provincia?",1
"weekend agriturismo o masseria...?",1
"sarta a palermo?",2
"falegname per porte interne.?",2
"una sarta che può restringere e accorciare un piumino?",2
"Bel Negozio BICI a Milano????",1
"Come faccio a trovare un falegname per aggiustare il mio armadio?",2
"le biblioteche della SAPIENZA di sabato fino a che ore sono aperte?",3
"la metro a roma è aperta fino a che ora?",3
"Ragazze che rispondete se qualcuno vi dice che avete delle belle gambe?",3
"A che ora, aprono le poste?",3
"a che ora aprono i seggi elettorali il 6 giugno?",3
"Downhill / MTB: cerco un negozio a Milano!?",1
"Cercasi Falegname!!!O qualcuno che riesca a lavorare il legno!!!?",2
"devo comprare una mountain bike. dove vado?",1
"A che ore aprono le scuole guida?",3
"domanda per sarti! si può accorciare?",3
"Discoteca Piper a Roma?",4
"Cerco falegname a Roma per posa laminato (economico)?",2
"Mercato di via sannio a che ora apre?",3
"A che ora apre la piscina alle magnolie roma?",3
"a che ora apre il cinema the space delle vele a cagliari?",3
"chi può costruirmi Mobili su misura a Milano e provincia?",2
"Dove acquistare filetti intarsiati Reggio Calabria?",1
"dove posso trovare una parete attrezzata in tamburato?",1
"A che ora apre la banca intesa???",3
"Dove comprare una city bike da uomo a Parma?",1
"Negozio biciclette a Roma?",1
"A che ora apre la metro di Roma la mattina?",3
"a che ora apre di solito la metropolitana di roma?e quando chiude?",3
"Dove posso acquistare una  bella mountain bike a  Bari?",1
"gamestop Catania, a che ora apre?(mattina o pomeriggio)?",3
"Di solito,allo stadio prima di un concerto a che ora apre il botteghino?",3
"Consiglio per serramenti esterni, c'è un falegname esperto in zona Torino Sud?",2
"un ottimo falegname che sia pure economico in zona Treviso o Venezia?",2
"vorrei sapere quali sono le migliori marche per mountain bike e quali sono i negozi più forniti?",1
"sto cercando le limo bike. qualcuno conosce un negozio che le vende in Emilia Romagna?",1
"Negozio di Mountain Bike a Torino?",1
"negozi di bike trial?",1
"negozi di mountain bike?",1
"mi dite un negozio dove vendono pit bike?",1
"Negozi di pit bike vicino a Milano?",1
"Pit bike negozi convenienti?",1
"negozi on line di mountain bike?",1
"Negozi di pit bike in milano e provincia?",1
"negozio bike trial a reggio calabria?",1
"mountain bike..negozio con vasta scelta?",1
"Dove posso trovare un negozio di pit bike a torino?",1
"Mi sapete indicare qualche negozio di bike trial a Milano o nei dintorni ?",1
"informazioni bicicletta bike trial?",3
"mi consigliate negozi carini e particolari a berlino, di abbigliamento maschile ed oggettistica?",1
"Locali a bari dove fanno dolci buoni?",1
"Conoscete un ristorante a Bari.....?",1
"Dove trovo un negozio di pit bike o minimoto da cross?",1
"cosa si può fare fuori bari???????",4
"arena di verona a che ora aprono i cancelli?",3
"Panorama a Treviso: orario di apertura?",3
"A che ora aprono i tabaccai al mattino?...?",3
"A che ora apre il the space?",3
"Domani è aperta la Rinascente di Milano?",3
"A che ora aprono i cinema?",3
"Negozi a gorgonzola a che ora aprono?",3
"a che ora apre il pottermore ?",3
"a che ora aprono le biglietterie trenitalia?",3
"Quali luoghi mi consigliereste di vedere a Vienna e Praga?",4
"Itinerario per la città di Volterra?",4
"a che ora apre la Borsa di tokyo..?",3
"di solito a che ora aprono i cancelli x i concerti?",3
"Mi fate una lista di musei, e monumenti vari da vedere a Bordeaux e dintorni (Francia)?",4
"ristorante vicino bari?",1
"Ragazzi/e campani appassionati di trekking?",3
"posti da visitare a brescia ?",4
"c'è un bravo tatuatore?",2
"Luoghi di interesse/da visitare in Islanda e Reykjavik?",4
"Dove noleggiare auto per Dubai?",1
"ho bisogno di un pescatore per imparare a pescare.",2
"tour di milano urgenteeee!!!!!?",4
"escursioni nei dintorni di Madrid?",4
"Cosa fareste a Munchen?",4
"Luoghi belli da visitare nei pressi di Udine?",4
"LUOGHI INTERESSANTI VENEZIA SESTIERE CASTELLO E CANNAREGIO ?",4
"Posti da visitare durante una gita alle Cinque Terre?",4
"luoghi di interesse roma e garbatella?",4
"monumenti e luoghi di interessi vicino a Trafalgar Square?",4
"come funzionano i mezzi pubblici ad atene?",3
"siti archeologici e luoghi di interesse Sardegna?",4
"luoghi di interesse turistico?!?!?!!?",4
"Luoghi di interesse turistico nel nord italia, possibilmente emilia, liguria, piemonte o lombardia?",4
"monumenti e luoghi di interesse in cina?",4
"Luoghi di interesse a Londra tralasciando i più famosi?10 punti?",4
"Luoghi di interesse culturale in Italia?",4
"Luoghi di interesse roma e garbatella?",4
"Buenos Aires!!!! Luoghi di interesse?",4
"Quali sono i monumenti e i maggiori luoghi di interesse da visitare a Madrid in un giorno solo?",4
"Luoghi da visitare a Bangkok a Pattaya?",4
"dove posso noleggiare il quad a sharm?",1
"dove posso noleggiare delle tavole da surf da onda a djerba in tunisia????",1
"dove noleggiare limousine?",1
"Dove posso noleggiare i giochi per ps3?",1
"luoghi romatici a bari?",1
"consiglio negozio abbigliamento a Bari?",1
"discoteche bari consigli?",1
"Consiglio su una festa di compleanno a Bari?",1
"consigli locali per serate a bari?",1
"vorrei organizzare un trekking al campo base k2.qualcuno ha consigli?",4
"sapete darmi qualche informazione sulla zona di arabba (dolomiti venete)?",3
"dove si possono noleggiare biciclette a roma???",1
"Dove posso noleggiare uno smoking a Milano o in Brianza?",1
"Dove posso noleggiare un calciobalilla zona Bergamo?",1
"dove posso noleggiare uno scooter a minorca?",1
"dove posso noleggiare un gommone sul lago di garda zona Malcesine/Torbole?",1
"dove noleggiano gommoni in costa smeralda?",1
"Dove posso noleggiare una Lamborghini o una Ferrari?",1
"dove posso noleggiare una bombola di gas elio ?",1
"dove posso noleggiare un cavallo in provincia di pistoia?",1
"Posto dove si noleggia i videogiochi a cagliari ?",1
"Dove posso noleggiare una macchina economica a malta?",1
"Costumi teatrali dove li possiamo noleggiare?",1
"dove noleggiare giochi ps3 a bari?",1
"dove posso noleggiare?",1
"Esiste un locale dove posso noleggiare la barca da pesca sul lago di Bilancino?",1
"Esiste a folgarida un posto dove posso noleggiare uno zaino porta bebè.?",1
"Chi puo dirmi dove noleggiare passeggini a Milano?",1
"DOVE NOLEGGIARE UNA BICI A GALWAY O KNOCK?",1
"Dove posso noleggiare una punto abarth a roma e dintorni?",1
"noleggiare audi tt - dove?",1
"Posti dove noleggiare manga o fumetti",1
"Dove posso noleggiare una tuta ignifuga omologata?",1
"Dove noleggiare il mitico furgoncino volkswagen?",1
"Dove posso noleggiare un camper da 10 posti letto vicino a genova?grazie!?",1
"dove posso noleggiare un camper nella provincia di bari?",1
"Dove posso noleggiare o comprare un collier di perline per una recita teatrale????????",1
"Dove noleggiare i sci?",1
"Dove noleggiare quad in Piemonte?",1
"Dove posso noleggiare delle poltrone?",1
"Dove noleggiare un panda vivo?",1
"Negozio dove noleggiare attrezzatura per soft-air a brescia?",1
"dove posso noleggiare delle parrucche per capodanno?",1
"dove posso noleggiare tutto?",1
"dove noleggiare attrezzatura da soft air.?",1
"a Milano dove noleggiare vestiti per Carnevale?",1
"Dove posso noleggiare auto a GPL o a Metano?",1
"dove noleggiano motorini a bologna?",1
"Qualcuno fa endurance/trekking?",4
"Dove noleggiano film?",1
"ragazzi ma a che ora sono aperti?",3
"concerto jovanotti tour ""ora"" aiuto!?",3
"potete dirmi dove posso trovare un interprete per il php?",2
"A che ora aprono i...?",3
"riuscirò a trovare interpreti qui?",2
"A che ora aprono gli Apple Store!!?",3
"A che ora aprono le chiese?",3
"si trova una buona specialistica di interprete e traduttori?",2
"cerco interprete ",2
"cerco...insegnate di canto....?",2
"AIUTO URGENTE!!!!HO BISOGNO DI INSEGNANTI,PROFESSORI E MAESTRI!!!!!!!?",2
"Sulla tuscolana a che ora aprono i negozi?",3
"A che ora aprono le chiese?",3
"dove posso trovare le traversine per il mio cane di marca ""beautycase""?""?",1
"a che ora apre oggi pottermore ?",3
"H&M a che ora apre il sabato pomeriggio?",3
"negramaro datchforum, a che ora aprono i cancelli?",3
"A che ora apre la metro a roma di mattina?",3
"Gamestop Catania, a che ora apre?(mattina o pomeriggio)?",3
"A che ora aprono i bar la domenica mattina?",3
"cerco insegnante di rhinoceros?",2
"gardaland: fino a che ore tengono aperte le montagne russe?",3
"Sapete a che ora aprono le edicole?",3
"disney store napoli a che ora apre?",3
"dove posso trovare una scuola di jackson style a milano?",1
"atm milano mezzi pubblici a che ora aperti ?",3
"A che ora aprono..........?",3
"Cerco insegnante privato a Marano di Napoli (NA) per lezioni di algebra e fisica?",2
"A CHE ORA APRONO I PUNTI VENDITA VODAFON?",3
"A che ora apre disneyland Paris?",3
"Cerco un insegnante di pianoforte a Verona?",2
"cerco un sito per insegnare a leggere a un bimbo di 6 anni mi aiutate?",2
"A che ora aprono le biglietterie Gardaland???",3
"A che ora aprono le agenzie interinali?",3
"disney store napoli a che ora apre?",3
"A che ora apre Pottermore oggi?",3
"A che ora apre Pottermore?",3
"cosa mi consigliate di visitare...?",4
"cerco insegnante di elettronica digitale. da dove inizio con la robotica?",2
"Ragazzi un consiglio x sabato sera(BARI).....?",3
"consigli da bari e dintorni! :)?",3
"Abito a bari e vorrei un consiglio...?",3
"Consiglio Parucchieri Bari?",3
"posso trovare un interprete giudiziario italiano/polacco?",2
"Ciao il prossimo fine settimana vado a Bari, vorrei un consiglio...?",3
"posso trovare un interprete cinese-italiano? Mi reco in cina e ho bisogno di un interprete?",2
"Cerco hacker esperto che mi insegni .. Posso anche pagare il service?",2
"cerco aiuto con il mio cane?",2
"Cerco insegnante o stundessa per materia matematica!?",2
