"id","domanda","categoria"
140,"bari e dintorni...the sims live with friends????",1
141,"dove acquistare vestiti H&M?",1
147,"Dove posso acquistare un chiwawa senza sborsare necessariamente 900-1000 euro?",1
481,"Bus ANTAB Aeroporto Bari -> Stazione Bari Centrale?",3
151,"mi serve pigiama uomo a bari?",1
482,"BARI: Come arrivare dalla stazione centrale alla Cattedrale di San Sabino?",3
483,"come arrivare alla stazione termini da bari?",3
484,"bari park e train...orari stazione mungivacca?",3
304,"BIGLIETTO BARI-ANCONA?",3
139,"Help !! dove compro questi occhialii?!?",1
117,"Sapresti dirmi negozi che vendono attrezzature da graffiti ?",1
149,"Urgente! Vestito di capodanno? dove posso comprarlo?
",1
314,"dove posso noleggiare un camper nella provincia di bari?",1
315,"Quanto può costarmi.....?",3
318,"Cosa dovrei sapere prima di una visita alla reggia di Caserta?",3
319,"Ho trovato in cantina una vecchia Nikon FE ma gli manca un pezzo...dove la posso far aggiustare???",1
331,"cercasi informazioni su locali e ristoranti?",3
332,"Aiutatemi...Mi trovo in provincia di bari , e sto cercando un lavoro estivo per questa estate?",3
631,"pianta di liquirizia? dove comprarla?",1
309,"Consigli per una serata a CORATO...?",3
228,"A chi mi posso rivolgere per una valutazione archeologica?",2
229,"a chi posso rivolgermi?",2
348,"problema tremolio del mio cane? chi può aiutarmi?",2
231,"chi mi potrebbe aiutare perfavore?",2
232,"Col foglio rosa chi mi può dar lezioni?",2
235,"Chi può tradurmi questo discorso?",2
272,"Pizzerie/Ristoranti carini a Bari...?",1
333,"dove possiamo andare domani?",4
174,"Pattinaggio artistico?",1
485,"Ci sono autobus che vanno dalla stazione di Bari Centrale al conservatorio?",3
486,"Qual è la via della stazione di Bari?",3
487,"Come posso raggiungere il porto dalla stazione di Bari centrale?",3
636,"Negozi di chimica....?",1
279,"Veterinario per animali esotici a Bari?",1
270,"quali negozi sportivi ci sono ?",1
271,"centri ecografici zona Bari ??!!?",1
335,"Week-end a Roma: Cosa mi consigliate di vedere?",4
186,"cerco un yorkshire terrier!!!?",1
637,"RAGAZZI DITEMI NEGOZI CHE CI SONO A MILANO :)?",1
1167,"Agriturismo economico puglia?",1
189,"parrucchieri-tagli emo in puglia?",1
190,"Schermo da cambiare iphone 2g?",1
491,"Qual è la via della stazione di Bari?",3
339,"week-end in puglia....cosa mi consigliate?",4
1295,"oggi i negozi a che ora aprono?",3
493,"Come si fa ad arrivare alla Stazione FS P.zza Moro di Bari, partendo da Taranto?",3
1296,"A che ora aprono le cartolerie la mattina?",3
496,"Bari FerroviA pORTO?",3
497,"collegamento bari aeroporto - bari stazione FSE?",3
1297,"A che ora aprono gli autolavaggi?",3
499,"sammichele di bari stazione?",3
350,"vacanza con tappe in italia, cosa vedere?",4
570,"foggia-bari aeroporto come arrivare?",3
571,"Da Bari al Salento con i mezzi pubblici?",3
572,"Ci sono mezzi pubblici per andare e tornare da Molfetta a Sannicandro di Bari?",3
1796,"domanda sulla pesca subacquea, apnea?",3
356,"Consigli su escursioni ""fai da te"" Costa Crocere?",4
162,"vorrei comprare un fumetto?",1
163,"vorrei comprare delle figurine!?",1
575,"Quale mezzo pubblico devo prendere dalla provincia di napoli x arrivare a bari?",3
358,"Mi potreste consigliare le escursioni per questa crociera?",4
576,"da palese ferrovie bari nord ad aeroporto di bari palese?",3
577,"Muoversi con i mezzi pubblici a Bari, mi aiutate?",3
278,"Che mi dite di Bari..?",3
340,"Consigli lavori part time?",3
688,"caseificio vicino a Bologna?",1
640,"Domanda per gli appassionati di botanica?",3
169,"dove compro 1 tinta per capelli blu viola e/o altri colori strani?",1
79,"dove posso trovare queste scarpe ?",1
237,"Chi mi può fare la traduzione ??!!!!?",2
601,"sai dirmi le chiese o le cattedrali romaniche che si trovano in puglia?",1
242,"fare un ricorso al prefetto chi potrebbe aiutarmi?",2
256,"qualcuno mi vende biglietti bari-milan?",2
257,"Capoeira bari?",1
260,"corso di recitazione? chi può offrirmelo?",1
262,"qualcuno di bari che mi spiega gli amtab?? urgente!?",3
502,"Guida turistica a Napoli?",2
1161,"Masseria a Bari, dove posso trovarla?",1
1299,"A che ora apre il bowling la domenica?",3
1799,"quali sono le tecniche migliori per immergersi in apnea?",3
1300,"a che ora apre il lingotto fiere per il torino comics 2010 ?",3
509,"Guida di Roma in pdf?",2
812,"Pietre preziose, vendita?",1
643,"CONCERTI di artisti noti vari..?",4
512,"Guida turistica Roma...?",2
377,"Come si svolgono le visite guidate con la Costa? 10 punti assicurati?",4
1298,"volevo sapere a che ora apre la feltrinelli?",3
380,"weekend in puglia?",4
1800,"Come si nuota in apnea?",3
515,"guida turistica a Palermo.........?",2
1301,"A che ora apre Combat Arms la mattina?",3
1302,"arena di verona a che ora aprono i cancelli?",3
386,"COSE DA VEDERE A MADRID ????",4
519,"guida turistica?",2
520,"guida turistica in francese della regione campania?",2
521,"Guida turistica in Italia?",2
500,"guide turistiche città italiane?",2
523,"guida turistica a venezia?",2
239,"chi mi puo aiutare?il computer si spegne da solo...?",3
525,"guide turistiche?",2
514,"Audioguide turistiche in mp3 o per navigatori?",3
368,"tour guidato... help?",4
369,"Info vacanze a Bari !?",3
578,"Come faccio a spostarmi da Bergamo o Milano a Bari con i mezzi pubblici?",3
579,"mezzi pubblici da Bari a Bitritto?",3
580,"Come raggiungere Andria da Bari con i mezzi pubblici (treno o autobus)?",3
581,"mezzi pubblici per arrivare in piazza moro (stazione di bari) partendo dalla scuola ""marco polo""?",3
598,"Perchè San Nicola a Bari è venerato anche dagli ortodossi che giungono in Italia apposta?",4
603,"Orario messa ORTODOSSA San Nicola di Bari?",3
609,"Bari merita di essere visitata? cosa vedere?",4
526,"Migliori guide turistiche sulla Puglia?",2
527,"chi potrebbe fare da Guida turistica per una visita della città?",2
582,"Cosa visitare a Bari?",4
1803,"pesca in apnea...?",3
585,"Luoghi da visitare a Bari?",4
588,"Vado 2 settimane in vacanza a Bari. Cosa visitare?",4
839,"negozi per vegetariani-vegani a Milano?",1
415,"Il mare in Puglia...consigli?",4
417,"Progetto percorso trekking Grecia? Urgente!?",4
841,"Chi conosce dei negozi dove vendono eclusivamente cose per vegetariani a torino?",1
1171,"ciao, mi consigliate un buon agriturismo in prov di Bari? grazie?",1
1172,"sale ricevimenti puglia?",1
1810,"domanda per esperti di apnea????",3
883,"Voglio comprarmi una buona ciclette. Abito a Viareggio/LU in quale negozio posso comprarla?",1
884,"negozio BMX Roma!!!?",1
666,"NEGOZI CHE VENONO MATERIALE ROCK (T SHIRT ETC) A BARI?",1
668,"Dove posso trovare a Bari puzzle con immagini di artisti come Klimt?",1
669,"Negozi di magliette di artisti musicali, Merchandise Musicale a Bari?",1
670,"Dove posso trovare libri usati a Bari?",1
886,"negozio riparazione freno bici brugherio/monza?",1
1177,"Mi consigliate qualche bel centro benessere pugliese?",1
1173,"e....per le persone del luogo ....che faranno ?",3
673,"Sapete se ci sono dei buoni tatuatori a bari?",2
881,"consigli mountain bike per uno che sta cominciando a girare (da uomo)?",2
885,"opinione mountain bike????",2
695,"Caseificio in campania di mozzarella di bufala?",1
443,"Chi mi da un consiglio per vacanze in Croazia?",4
696,"MIGLIOR CASEIFICIO CAMPANIA IMPORTANTE GRAZIE?",1
652,"PUGLIA CAPAREZZA CONCERTI . (non lontano da taranto-bari)?",3
658,"eventi particolari?",3
699,"Auguri di pasqua: consigli per un caseificio..?",1
591,"orari di apertura al pubblico della basilica San Nicola???",3
592,"alcune curiosità sulla basilica di san nicola di bari?",3
593,"spiegazione architettura e storia della basilica s.nicola e la cattedrale di s.nicola a bari?",3
445,"eventi particolari?",3
614,"chiesa romanica?????",4
619,"Chiese buddhiste a Bari?",4
624,"esistono chiese protestanti a bari?",4
586,"quale è l'elenco delle cattedrali Gotiche e romaniche piu famose?",4
618,"numero di telefono della chiesa di s. nicola a bari?",3
621,"info su chiesa di BARI....?",3
622,"informazioni su ADI (chiesa evangelica) di Bari?",3
613,"Vorrei sapere qualche buona pizzeria a Bari e provincia?",1
804,"costo del piercing sul naso?",3
805,"NOME DI NEGOZI O FABBRCHE che VENDE ANELLI DI DIAMANTI A VALENZA?",1
813,"vorrei vendere uno smeraldo di famiglia, con certificato, a chi mi devo rivolgere?",2
706,"un bravo barbiere/parrucchiere x uomini a bari?",2
1814,"Consigli per iniziare la pesca in apnea... Bisogna seguire per forza un corso di apnea?",3
528,"Voglio sapere gli orari del pullman per bari da Casamassimaa!! Aiutatemii?",3
529,"Chi abita a Bari o Triggiano sa per caso gli orari dei pullman, io non riesco a trovarli?",3
530,"Pullman da Amantea(CS) per Bari o Brindisi?",3
531,"Salve.Esiste un pullman che parte da bari e arriva a Macerata?!?",3
532,"Pullman per mirabilandia da bari brindisi taranto o comuqnue in generale puglia?",3
533,"Pullman da Bari per partite allo Juventus Stadium?",3
461,"Dove al mare in Basilicata?",4
534,"Quali pullman da Bari arrivano a Manfredonia?",3
283,"cosa ci consigliereste di visitare tra Bari, Otranto e Ostuni?",4
399,"mi potresti dare qualche informazione in più sul campeggio san giorgio in puglia?",3
680,"Abbigliamento con Slogan VEG a BARI o PALERMO?",1
537,"scusate potete dirmi come arrivare a miragica da bari cn un pullman o con treno?",3
682,"Quali sono i ristoranti e negozi di alimentari per VEGAN e VEGETARIANI a TRANI e dintorni?",1
540,"Chi mi sa dire gli orari di pullman o treni da Bari a Valenzano ? è urgentissimi ... rispondetemi?",3
541,"pullman da Bari e provincia Amici?",3
1030,"Interprete di conferenza?",2
798,"dove comprare diamanti di grande valore?",1
686,"Urgente, dove posso comprare la Pasta shirataki?",1
687,"dove vendono il seitan e il tofu..?",1
681,"Pediatri vegetariani a Brindisi e provincia?",2
548,"Salve, vorrei sapere orari e linee di pullman che vanno da Bari centrale a Modugno zona industriale?",3
549,"ESISTONO PULLMAN DA CEGLIE DEL CAMPO A BARI?",3
550,"ESISTE UN TRENO O PULLMAN CHE PARTE DA BARI E VA AD ""ARADEO""??? (PROVINCIA DI LECCE)?",3
551,"come posso arrivare da bari a lagonegro (potenza)?",3
552,"qualcuno sa se si stanno organizzando pullman da bari per il primo maggio?",3
553,"Pullman da Napoli centrale (stazione) a Bari aeroporto (Palese)?",3
554,"Bari-Campomarino(taranto)?",3
555,"Pullman Mirabilandia (o altri parchi divertimento) 2010 partenza da bari?",3
556,"Qualcuno sa se esistono pullman da bari per marsiglia?",3
557,"aiuto orari pullman BARI?",3
558,"quali sono i pullman per andare da taranto a bari?",3
559,"Esiste un pullman che parte da Bari e che arrivi a Torre Canne?",3
560,"qualcuno sa dirmi se esiste un pullman da bari a castellaneta paese?",3
561,"pullman per Mirabilandia da bari?",3
562,"Pullman da Bari per Foggia?",3
563,"mi date gli orari dei pullman da BARI-ROSSANO CALABRO grazie?",3
703,"qualcuno mi sa consigliare un caseificio buono in gioia del colle?",1
566,"Autobus/pullman da Bari a centro commerciale Bariblu?",3
567,"pullman bari-gardaland?",3
568,"Aiuto Per Treni o Pullman Da Napoli a Bari?",3
602,"negozi swatch provincia di Bari?",1
705,"conosci un barbiere a Bari che fa tagli militari cortissimi sfumati?",2
1179,"Camping La vecchia torre Gallipoli?",1
1180,"centro benessere??????????",1
1815,"pesca subacquea apnea?",3
821,"Meccanico???? Help me?",2
1184,"Pranzo Pasquetta in zona Bari-Brindisi?",1
1186,"se io vado a lecce a natale dove posso mangiare senza spendere una cifra?",1
1910,"Negozio di pesca a Martina Franca (ta)?",1
826,"un meccanico che mi possa aiutare davvero?",2
1924,"dove posso trovare una corda di canapa a martina franca (TA)?",1
715,"mi parlate in generale dll città greca e della città romana?",3
718,"Ceramista qualificatissimo con più di 30 anni di esperienza??!?",2
1937,"Dove vendono Jeckerson a Martina Franca",1
1190,"Aiuto!! Cerco Rudere o Masseria abbandonata in provincia di Napoli!!?",1
1191,"Agriturismo in puglia nella zona tra Fasano e Brindisi?",1
728,"un avvocato o un esperto che possa aiutarmi e prendersi a cuore la situazione?",2
1943,"Negozi MArtina Franca..taranto?",1
1193,"Qualche agriturismo zona benevento?",1
888,"Dove comprare mtb in Emilia?",1
732,"Cercasi Fabbro a Napoli?",2
733,"A.A.A. Cercasi fabbro esperto nel fabbricare coperchi.?",2
889,"Dove comprare Bike Chopper ?",1
890,"help!! aiutatemi non riesco ad trovare un negozio di.....?",1
1194,"ciao conoscete un hotel carino sul mare nella zona di torre canne costa merlata ecc?",1
1195,"Alloggi zona Otranto e limitrofe?",1
1196,"mi suggerite un hotel o masseria che conoscete nella zona di Ostuni?",1
1197,"Vorrei passare il periodo di Natale in Puglia zona Salento in qualche Masseria?",1
895,"Negozi di bici a Milano...?",1
741,"Chi Vende Tiffany a Padova?",2
742,"a chi vendere diamanti grezzi?",2
896,"Negozio bmx specializzato a Milano?",1
744,"Creare un ciondolo con una pietra personale?! A chi rivolgersi?",2
897,"sapete se in Italia e soprattutto in sicilia..se ci sono negozi o rivenditori di scarpe evans?",1
898,"negozi di bici che accettano contrassegno?",1
1198,"Masserie sul Gargano o zona Brindisi!?",1
748,"chi mi aiuta? diritto...?",2
900,"NEGOZI KE VENDONO BMX A ROMA?",1
750,"Chi mi può valutare un diamante?",2
901,"salve a tutti cerco un negozio di bmx a roma?",1
752,"da chi faccio valutare i miei beni?",2
902,"cerco pit bike usata o nuova 125-140?",1
903,"Cerco casco integrale per cross bike?",1
904,"dove posso acquistare delle moutiny bike?",1
1199,"cerco hotel masseria con vasca idromassaggio in camera?",1
906,"Un negozio di attrezzi sportivi a Verona o provincia?",1
755,"Che negozio fa il piercing sul naso?",1
908,"Negozi pit bike a milano e in provincia?",1
909,"dove trovo un negozio di pit bike a venezia?",1
1952,"B&B economici ..martina franca?",1
907,"consiglio esperti mountain bike?",3
1182,"Cerco un bella zona da visitare",4
759,"Per chi si intende di pietre preziose? Aiuto?",2
829,"cerco un o dei sarti a modena che possono realizzare completti giacche classico da uomo?",2
830,"Dove posso trovare una sarta che mi possa costruire un abito da cosplayer?",2
831,"cerco una sarta con partita iva ed esperienza torino!!!!!!!!!! urgente?",2
763,"Chi effettua le incisioni sui braccialetti ?",2
1201,"weekend agriturismo o masseria...?",1
834,"sarta a palermo?",2
837,"una sarta che può restringere e accorciare un piumino?",2
853,"Bel Negozio BICI a Milano????",1
778,"Come faccio a trovare un falegname per aggiustare il mio armadio?",2
1303,"le biblioteche della SAPIENZA di sabato fino a che ore sono aperte?",3
855,"Negozio accessri moto centro milano...?",1
1304,"la metro a roma è aperta fino a che ora?",3
1305,"Ragazze che rispondete se qualcuno vi dice che avete delle belle gambe?",3
1306,"A che ora, aprono le poste?",3
1307,"a che ora aprono i seggi elettorali il 6 giugno?",3
860,"Downhill / MTB: cerco un negozio a Milano!?",1
786,"Cercasi Falegname!!!O qualcuno che riesca a lavorare il legno!!!?",2
1309,"A che ore aprono le scuole guida?",3
835,"domanda per sarti! si può accorciare?",3
792,"Cerco falegname a Roma per posa laminato (economico)?",2
1311,"Mercato di via sannio a che ora apre?",3
1312,"A che ora apre la piscina alle magnolie roma?",3
1313,"a che ora apre il cinema the space delle vele a cagliari?",3
769,"Fedi nuziali, comprarle a Milano e/o provincia?",1
771,"Casa: laboratori di sverniciatura termosifoni e falegnami per porte interne.?",1
774,"chi può costruirmi Mobili su misura a Milano e provincia?",2
775,"Dove acquistare filetti intarsiati Reggio Calabria?",1
776,"dove posso trovare una parete attrezzata in tamburato?",1
1314,"A che ora apre la banca intesa???",3
870,"devo comprare una mountain bike con un budget di 350€ cosa mi consigliate?",1
871,"Dove comprare una city bike da uomo a Parma?",1
872,"Negozio biciclette a Roma?",1
1315,"A che ora apre la metro di Roma la mattina?",3
1316,"a che ora apre di solito la metropolitana di roma?e quando chiude?",3
879,"Dove posso acquistare una  bella mountain bike a  Bari?",1
1317,"gamestop Catania, a che ora apre?(mattina o pomeriggio)?",3
1318,"Di solito,allo stadio prima di un concerto a che ora apre il botteghino?",3
1308,"Discoteca Piper a Roma?",1
793,"Consiglio per serramenti esterni, c'è un falegname esperto in zona Torino Sud?",2
795,"un ottimo falegname che sia pure economico in zona Treviso o Venezia?",2
910,"Dove trovo un negozio di pit bike o minimoto da cross a Torino?",1
911,"vorrei sapere quali sono le migliori marche per mountain bike e quali sono i negozi più forniti?",1
912,"sto cercando le limo bike. qualcuno conosce un negozio che le vende in Emilia Romagna?",1
914,"chi vende bike trial!!!!!!!!!!!!!!!!!!!!!!!?",1
915,"siti o negozi a bari di biciclette please?",1
916,"ciao raga io sono di napoli e vorrei comprarmi una mountain bike sapete se ci sono negozi a napoli?",1
917,"per caso conoscete negozi di pit bike o moto cross a poco prezzo in ciociaria?",1
918,"Negozio di Mountain Bike a Torino?",1
919,"negozi di bike trial?",1
920,"Sito o negozio dove posso comprarmi una bici da corsa o montai bike a rate 10 pt al migliore?",1
921,"negozi di mountain bike?",1
922,"mi dite un negozio dove vendono pit bike?",1
923,"negozi di mountain bike  non su ebay?",1
924,"Negozi di pit bike vicino a Milano?",1
1203,"dove posso andare a mangiare stasera con il mio ragazzo?",1
926,"Pit bike negozi convenienti?",1
927,"negozi on line di mountain bike?",1
928,"negozi bike trial in abruzzo??10 pnt?",1
929,"Negozi di pit bike in milano e provincia?",1
930,"negozio bike trial a reggio calabria?",1
931,"mountain bike..negozio con vasta scelta?",1
932,"Dove posso trovare un negozio di pit bike a torino?",1
933,"Mi sapete indicare qualche negozio di bike trial a Milano o nei dintorni ?",1
913,"informazioni bicicletta bike trial?",3
935,"mi consigliate negozi carini e particolari a berlino, di abbigliamento maschile ed oggettistica?",1
1204,"festa di laurea a bari?",1
1205,"Locali a bari dove fanno dolci buoni?",1
1206,"Conoscete un ristorante a Bari.....?",1
1207,"festa di laurea a bari?",1
1208,"Mi cosigliate dei locali particolari a Bari dove mangiare bene e spendere poco?",1
1209,"Mi consigliate una pizzeria e/o un ristorante carino a bari che non sia eccessivamente costoso?",1
939,"cosa si può fare fuori bari???????",4
1319,"arena di verona a che ora aprono i cancelli?",3
1321,"Panorama a Treviso: orario di apertura?",3
1322,"A che ora aprono i tabaccai al mattino?...?",3
1323,"A che ora apre il the space?",3
952,"Cosa mi consigliate di vedere in Valtellina?",1
1324,"Domani è aperta la Rinascente di Milano?",3
1325,"A che ora aprono i cinema?",3
1326,"Negozi a gorgonzola a che ora aprono?",3
1327,"a che ora apre il pottermore ?",3
1328,"a che ora aprono le biglietterie trenitalia?",3
958,"luoghi di interesse artistico nella zona di Grosseto e Castiglio della Pescaia?",1
934,"Quali luoghi mi consigliereste di vedere a Vienna e Praga?",4
936,"Itinerario per la città di Volterra?",4
1329,"a che ora apre la Borsa di tokyo..?",3
1330,"di solito a che ora aprono i cancelli x i concerti?",3
1320,"tabaccheria piazza dante napoli(quella che fa i biglietti del napoli)?",1
943,"Mi fate una lista di musei, e monumenti vari da vedere a Bordeaux e dintorni (Francia)?",4
1213,"Consiglio ristorante vicino bari?",1
1214,"CONSIGLIO LOCATIONper 18 anni bari?",1
1821,"Ragazzi/e campani appassionati di trekking?",3
966,"posti da visitare a brescia ?",1
1216,"Consiglio per un Tatuaggio a Bari.?",1
1219,"Provincia di bari...?",1
978,"Luoghi di interesse/da visitare in Islanda e Reykjavik?",1
938,"tour di milano urgenteeee!!!!!?",4
941,"escursioni nei dintorni di Madrid?",4
946,"Cosa fareste a Munchen?",4
947,"Luoghi belli da visitare nei pressi di Udine?",4
949,"LUOGHI INTERESSANTI VENEZIA SESTIERE CASTELLO E CANNAREGIO ?",4
951,"Posti da visitare durante una gita alle Cinque Terre?",4
955,"luoghi di interesse roma e garbatella?",4
956,"monumenti e luoghi di interessi vicino a Trafalgar Square?",4
957,"come funzionano i mezzi pubblici ad atene?",3
961,"siti archeologici e luoghi di interesse Sardegna?",4
962,"luoghi di interesse turistico?!?!?!!?",4
963,"Luoghi di interesse turistico nel nord italia, possibilmente emilia, liguria, piemonte o lombardia?",4
969,"monumenti e luoghi di interesse in cina?",4
973,"Luoghi di interesse a Londra tralasciando i più famosi?10 punti?",4
975,"Luoghi di interesse culturale in Italia?",4
976,"Luoghi di interesse roma e garbatella?",4
977,"Buenos Aires!!!! Luoghi di interesse?",4
980,"Quali sono i monumenti e i maggiori luoghi di interesse da visitare a Madrid in un giorno solo?",4
982,"Luoghi da visitare a Bangkok a Pattaya?",4
983,"Noleggiare Limousine?Come e dove si fa?Quanto costa?",1
984,"Devo noleggiare auto per Dubai. Dove?",1
985,"dove posso noleggiare il quad a sharm?",1
986,"dove posso noleggiare delle tavole da surf da onda a djerba in tunisia????",1
987,"dove noleggiare limousine?",1
988,"Dove posso noleggiare i giochi per ps3?",1
1224,"bolognese al porto di bari.consigli?",1
1226,"consiglio negozio abbigliamento a Bari?",1
1227,"discoteche bari consigli?",1
1229,"Consiglio su una festa di compleanno a Bari?",1
1232,"posti romatici a bari?",1
1233,"consigli locali per serate a bari?",1
1827,"vorrei organizzare un trekking al campo base k2.qualcuno ha consigli?",4
970,"sapete darmi qualche informazione sulla zona di arabba (dolomiti venete)?",3
989,"dove si possono noleggiare biciclette a roma???",1
990,"Dove posso noleggiare uno smoking a Milano o in Brianza?",1
991,"Dove posso noleggiare un calciobalilla zona Bergamo?",1
992,"dove posso noleggiare uno scooter a minorca?",1
993,"Scusate sapete dove posso noleggiare delle parrucche per capodanno?",1
994,"dove posso noleggiare un gommone sul lago di garda zona Malcesine/Torbole?",1
995,"esiste un sito dove posso noleggiare tutto?",1
996,"dove noleggiano gommoni in costa smeralda?",1
997,"Dove posso noleggiare una Lamborghini o una Ferrari?",1
998,"dove posso noleggiare una bombola di gas elio ?",1
999,"Posto a verona dove noleggiare attrezzatura da soft air.?",1
1000,"Conoscete un posto a Milano dove noleggiare vestiti per Carnevale?",1
1001,"dove posso noleggiare un cavallo in provincia di pistoia?",1
1002,"Dove posso noleggiare auto a GPL o a Metano a Cesena?",1
1003,"Posto dove si noleggia i videogiochi a cagliari ?",1
1004,"Dove posso noleggiare una macchina economica a malta?",1
1005,"Costumi teatrali dove li possiamo noleggiare?",1
1006,"dove noleggiare giochi ps3 a bari?",1
1007,"dove posso noleggiare?",1
