domanda;categoria
c'è un agricoltore che vende frutta senza conservanti? ;3
Dove posso comprare un computer Acer a Martina? ;1
dove posso trovare un negozio che vende le magliette da donna? ;1
dove posso trovare un dog sitter? ;1
chi mi consiglia un bravo insegnate di italiano per le ripetizioni a mio figlio? ;2
chi mi consiglia un bravo elettricista? ;2
chi mi consiglia un bravo muratore? ;2
un bravo personal trainer a bari? ;2
Sapete dove posso trovare un ginecologo? ;2
quali sono tutti i tipi di salumi? ;3
dove posso comrpare un montain bike? ;1
a chi mi rivolgo per noleggiare una macchina? ;2
dove posso comprare una cartina geografica? ;1
esiste un tour guidato a bari? ;3
qualcuno mi consiglia un b&b a Bari? ;3
ristorante romantico a martina franca? ;1
esiste un pub per ragazzi a bari? ;1
c'è una pizzeria per soli adulti a bari? ;1
cosa posso visitare a martina franca?  ;1
c'è qualche evento in villa a bari quest'estate? ;4
c'è qualche evento in centro a bari quest'estate? ;4
qualcuno mi saprebbe dare delle informazioni riguardo al battiti live di quest'estate? ;3
come raggiungere pescaria bari? ;1
qual è il migliore liceo di bari? ;1
chi mi consiglia un bravo medico per l'udito? ;2
1028 Gli abitanti di martina franca dove vanno al mare?;3
1029 Pullman martina franca-gioia del colle;3
1030 Per chi conosce il paese Martina Franca (Taranto)?;3
1031 Chi sa dirmi le chiese o le cattedrali romaniche che si trovano in puglia?;4
1032 quali sono le cattedrali romaniche in italia?;4
1033 Quali chiese/cattedrali scegliere?;4
1034 cosa visitare in puglia in gita di 4 giorni?;4
1035 estate in puglia dove mi consigliate di andare?;1
1036 Posti da visitare in puglia con la famiglia?;1
957 Bel mare e con possibilit‡† di spostarsi in puglia??;4
958 Chi mi consiglia un Itinerario per la Puglia?;4
959 Quanto dista la localit‡ Correggio dalla zona Trulli?;3
960 paese pi˘ adatto per vacanza in puglia con dei bambini piccoli?;4
961 la puglia..terra da scoprire..consigli?;4
962 Posti pi˘ belli della Puglia?;4
821 qualcuno mi potrebbe descrivere la piantina di Santeramo in Colle?;3
822 Tour della Transilvania in 3 giorni! Aiuto!?;4
823 cosa mi consigliate di fare per pasquetta in puglia?;3
824 come fare per visitare la Basilica di S. Pietro e Castel S. Angelo?;4
825 Cosa visitare in un giorno a Napoli considerando che arriver‡ in treno?;4
604 Cerco insegnate di batteria a Corato (Bari)?;2
605 Cerco persona che mi insegni come pulire le scritte fuori dai baloon nei manga?;2
614 cerco insegnate gioco s4 league?;2
615 Cerco urgentemente insegnante spagnolo?;2
603 Cerco vero insegnate di tennis..?;2
604 Cerco insegnante di chitarra classica o acustica....?;2
608 qualcuno che mi insegni il russo?;2
588 cercasi libro per imparare il giapponese!?;2
589 Cerco un insegnante di canto!!! dove e come?;2
568 Cerco qualcuno che mi insegni programmare!!?;2
565 Cerco a roma un insegnante qualificato di kravmaga che faccia lezioni private dove trovarlo?;2
556 Consiglio Parucchieri Bari?;3
557 posso trovare un interprete giudiziario italiano/polacco?;2
558 Ciao il prossimo fine settimana vado a Bari, vorrei un consiglio...?;3
559 posso trovare un interprete cinese-italiano? Mi reco in cina e ho bisogno di un interprete?;2
560 Cerco hacker esperto che mi insegni .. Posso anche pagare il service?;2
561 cerco aiuto con il mio cane?;2
562 Cerco insegnante o stundessa per materia matematica!?;2
508 dove noleggiare attrezzatura da soft air.?;1
509 a Milano dove noleggiare vestiti per Carnevale?;1
510 Dove posso noleggiare auto a GPL o a Metano?;1
511 dove noleggiano motorini a bologna?;1
512 Qualcuno fa endurance/trekking?;4
513 Dove noleggiano film?;1
381 Downhill / MTB: cerco un negozio a gallipoli?;1
382 Cercasi Falegname!! qualcuno che riesca a lavorare il legno?;2
370 weekend agriturismo o masseria?;1
371 Devo accorciare i miei vestiti, c'è una sarta vicino a Locorotondo che potrebbe aiutarmi?;2
372 falegname per porte interne?;2
373 una sarta che può restringere e accorciare un piumino?;2
363 Per chi si intende di pietre preziose? Aiuto?;2
364 cerco un o dei sarti a modena che possono realizzare completti giacche classico da uomo? 2;2
365 Dove posso trovare una sarta che mi possa costruire un abito da cosplayer?;2
366 cerco una sarta con partita iva ed esperienza torino;2
367 Chi effettua le incisioni sui braccialetti ?;2
332 Agriturismo in puglia nella zona tra Fasano e Brindisi?;1
333 un avvocato o un esperto che possa aiutarmi e prendersi a cuore la situazione?;2
334 Negozi Martina Franca..taranto?;1
335 Qualche agriturismo zona benevento?;1
309 Esiste un pullman che parte da Bari e che arrivi a Torre Canne?;3
310 qualcuno sa dirmi se esiste un pullman da bari a castellaneta paese?;3
311 pullman per Mirabilandia da bari?;3
312 Pullman da Bari per Foggia?;3
313 mi date gli orari dei pullman da BARI-ROSSANO CALABRO grazie?;3
314 Autobus/pullman da Bari a centro commerciale Bariblu?;3
315 Aiuto Per Treni o Pullman Da Napoli a Bari?;3
316 negozi swatch provincia di Bari?;1
317 conosci un barbiere a Bari che fa tagli militari cortissimi sfumati?;2
297 Pediatri vegetariani a Brindisi e provincia?;2
254 Caseificio in campania di mozzarella di bufala?;1
255 Chi mi da un consiglio per vacanze in Croazia?;4
256 MIGLIOR CASEIFICIO CAMPANIA IMPORTANTE GRAZIE?;1
257 PUGLIA CAPAREZZA CONCERTI . (non lontano da taranto-bari)?;3
258 eventi particolari?;3
259 orari di apertura al pubblico della basilica San Nicola?;3
260 alcune curiosit‡ sulla basilica di san nicola di bari?;3
261 spiegazione architettura e storia della basilica s.nicola?;3
262 eventi particolari?;3
263 chiesa romanica?;4
264 Chiese buddhiste a Bari?,;4
265 esistono chiese protestanti a bari?;4
chi mi consiglia un bravo cantante per un matrionio? 2;2
chi mi aiuta a trovare una band per il diciottesimo di mio figlio? 2;2
dove posso recarmi per trovare una chitarra usata? 1;1
c'è qualche attore comico disponibile per una festa? 2;2
cosa posso fare a gallipoli l'estate?;4
qualcuno consoce un idraulico economico? 2;2
i castelli pi˘ belli della puglia? 1;1
c'è un professore bravo in matematica? 2;2
cosa posso fare l'estate a bari? 4;4
dove controllo gli orari del treno? 3;3
come arrivo in stazione dall'aeroporto di bari? 3;3
a chi mi rivolgo per organizzare un concerto? 2;2
da chi vado per organizzare un evento? 2;2
a chi chiedo per un'informazione su un evento? 2;2
chi può aiutarmi ad aggiustare la piscina? 2;2
chi consiglia una macelleria dove acquistare carne di cavallo? 2;2
Qualcuno potrebbe indicarmi le pi˘ belle riserve naturali del portogallo per fare trekking?;4
Concerto a Milano? 3;3
ragazzi, dove posso trovare il numero di telefono di coloro che organizzano i concerti a roma? ;2
quali sono i prossimi concerti a roma? 3;3
cosiglio per concerto a rimini? 3;3
quando aprono i botteghini al concerto di vasco rossi? 3;3
dove posso compare pasta per gli intolleranti al lattosio? 1;1
sono chiuse di domenica le librerie? 3;3
sono chiuse di domenica le banche? 3;3
c'è qualche dj che può venire alla festa di mio filgio? 2;2
dove posso controllare i voti di mio filgio? 3;3
insegnante privato di pianoforte a matera? 2;2
insegannte privato di musica per mio filgio? 2;2
voglio imparare a suonare la chitarra come faccio? 3;3
come posso imparare a suonare uno strumento da autodidatta? 3;3
dove posso acqustare il biglietto di ultimo? 1;1
cerco un falegname in zona 2;2
chi mi aiuta a superare un esame? 2;2
non riesco a superare diritto privato, chi mi aiuta? 2;2
chi mi aiuta con l'italiano? 2;2
sono appena arrivato in italia mi servirebbe un insegnante di italiano per una certificazione;2
come faccio per arrivare al porto di bari? 3;3
chi mi consiglia un posto per far divertire mio filgio? 2;2
mi si è rotta la macchina, un bravo meccanico e soprattutto economico? 2;2
uno bravo con i motori fiat? 2;2
cerco un esperto di tecnologia? 2;2
c'è qualcuno bravo riparare i computer? 2;2
non mi parte pi˘ il computere come faccio? 2;2
chi fa i milgior coktail a gallipoli? 2;2
un bravo barman che vuole lavorare in una discoteca?;2
chi potrebbe fare da Guida turistica per una visita della citt‡? 2;2
guide turistiche per un'esperienza a gallipoli? 2;2
Audioguide turistiche in mp3 o per navigatori? 3;3
tour guidato alle grotte di castellana? 4;4
Info vacanze estive? 3;3
Come si fa ad arrivare alla Stazione FS P.zza Moro di Bari, partendo da Taranto? 3;3
se vado in cartoleria trovo dei fogli a6? 3;3
cerco un professionista che lavora in stazione? 3;3
collegamento bari aeroporto - bari stazione FSE? 3;3
